Category,Keyword,Count,Percentage
Order/Payment,order,7,8.0%
Order/Payment,checkout,1,1.1%
Order/Payment,payment,1,1.1%
Order/Payment,orders,1,1.1%
Other,contains,5,5.7%
Other,previous,2,2.3%
Other,previously,2,2.3%
Other,initiated,2,2.3%
Other,prodname,1,1.1%
Other,ready,1,1.1%
Other,gateway,1,1.1%
Other,sandbox,1,1.1%
Other,mode,1,1.1%
Other,logged,1,1.1%
Other,least,1,1.1%
Other,placed,1,1.1%
Other,within,1,1.1%
Other,window,1,1.1%
Other,state,1,1.1%
Other,partial,1,1.1%
Other,multiple,1,1.1%
Other,updates,1,1.1%
Product/Catalog,product,9,10.2%
Product/Catalog,cart,6,6.8%
Product/Catalog,product_name,1,1.1%
Refund/Return,refund,2,2.3%
Refund/Return,return,1,1.1%
Status,delivered,2,2.3%
Status,processing,1,1.1%
Status,completed,1,1.1%
Status,status,1,1.1%
User/Account,user,4,4.5%
User/Account,user_email,1,1.1%
User/Account,userpwd,1,1.1%
User/Account,account,1,1.1%
User/Account,emailid,1,1.1%
User/Account,email_addr,1,1.1%
